,sepal_length,sepal_width,petal_length,petal_width,species,Cluster
0,5.1,3.5,1.4,0.2,Iris-setosa,Sentosa
1,4.9,3,1.4,0.2,Iris-setosa,Sentosa
2,4.7,3.2,1.3,0.2,Iris-setosa,Sentosa
3,4.6,3.1,1.5,0.2,Iris-setosa,Sentosa
4,5,3.6,1.4,0.2,Iris-setosa,Sentosa
5,5.4,3.9,1.7,0.4,Iris-setosa,Sentosa
6,4.6,3.4,1.4,0.3,Iris-setosa,Sentosa
7,5,3.4,1.5,0.2,Iris-setosa,Sentosa
8,4.4,2.9,1.4,0.2,Iris-setosa,Sentosa
9,4.9,3.1,1.5,0.1,Iris-setosa,Sentosa
10,5.4,3.7,1.5,0.2,Iris-setosa,Sentosa
11,4.8,3.4,1.6,0.2,Iris-setosa,Sentosa
12,4.8,3,1.4,0.1,Iris-setosa,Sentosa
13,4.3,3,1.1,0.1,Iris-setosa,Sentosa
14,5.8,4,1.2,0.2,Iris-setosa,Sentosa
15,5.7,4.4,1.5,0.4,Iris-setosa,Sentosa
16,5.4,3.9,1.3,0.4,Iris-setosa,Sentosa
17,5.1,3.5,1.4,0.3,Iris-setosa,Sentosa
18,5.7,3.8,1.7,0.3,Iris-setosa,Sentosa
19,5.1,3.8,1.5,0.3,Iris-setosa,Sentosa
20,5.4,3.4,1.7,0.2,Iris-setosa,Sentosa
21,5.1,3.7,1.5,0.4,Iris-setosa,Sentosa
22,4.6,3.6,1,0.2,Iris-setosa,Sentosa
23,5.1,3.3,1.7,0.5,Iris-setosa,Sentosa
24,4.8,3.4,1.9,0.2,Iris-setosa,Sentosa
25,5,3,1.6,0.2,Iris-setosa,Sentosa
26,5,3.4,1.6,0.4,Iris-setosa,Sentosa
27,5.2,3.5,1.5,0.2,Iris-setosa,Sentosa
28,5.2,3.4,1.4,0.2,Iris-setosa,Sentosa
29,4.7,3.2,1.6,0.2,Iris-setosa,Sentosa
30,4.8,3.1,1.6,0.2,Iris-setosa,Sentosa
31,5.4,3.4,1.5,0.4,Iris-setosa,Sentosa
32,5.2,4.1,1.5,0.1,Iris-setosa,Sentosa
33,5.5,4.2,1.4,0.2,Iris-setosa,Sentosa
34,4.9,3.1,1.5,0.1,Iris-setosa,Sentosa
35,5,3.2,1.2,0.2,Iris-setosa,Sentosa
36,5.5,3.5,1.3,0.2,Iris-setosa,Sentosa
37,4.9,3.1,1.5,0.1,Iris-setosa,Sentosa
38,4.4,3,1.3,0.2,Iris-setosa,Sentosa
39,5.1,3.4,1.5,0.2,Iris-setosa,Sentosa
40,5,3.5,1.3,0.3,Iris-setosa,Sentosa
41,4.5,2.3,1.3,0.3,Iris-setosa,Sentosa
42,4.4,3.2,1.3,0.2,Iris-setosa,Sentosa
43,5,3.5,1.6,0.6,Iris-setosa,Sentosa
44,5.1,3.8,1.9,0.4,Iris-setosa,Sentosa
45,4.8,3,1.4,0.3,Iris-setosa,Sentosa
46,5.1,3.8,1.6,0.2,Iris-setosa,Sentosa
47,4.6,3.2,1.4,0.2,Iris-setosa,Versicolor
48,5.3,3.7,1.5,0.2,Iris-setosa,Versicolor
49,5,3.3,1.4,0.2,Iris-setosa,Versicolor
50,7,3.2,4.7,1.4,Iris-versicolor,Versicolor
51,6.4,3.2,4.5,1.5,Iris-versicolor,Versicolor
52,6.9,3.1,4.9,1.5,Iris-versicolor,Versicolor
